"Column0","Column1","Column2","Column3","Column4"
"loss:0,4684","grad_norm:3,745854139328003","learning_rate:3,028571428571428e-06","epoch:17,4",
"loss:0,4396","grad_norm:4,479855060577393","learning_rate:2,9714285714285716e-06","epoch:17,6",
"loss:0,0032","grad_norm:0,1210315003991127","learning_rate:2,9142857142857142e-06","epoch:17,8",
"loss:0,4707","grad_norm:4,735685348510742","learning_rate:2,8571428571428573e-06","epoch:18,0",
"eval_loss:1,04664146900177","eval_runtime:13,1127","eval_samples_per_second:0,305","eval_steps_per_second:0,076","epoch:18,0"
"loss:0,4387","grad_norm:4,105893611907959","learning_rate:2,8e-06","epoch:18,2",
"loss:0,472","grad_norm:4,39581823348999","learning_rate:2,742857142857143e-06","epoch:18,4",
"loss:0,4233","grad_norm:3,6013498306274414","learning_rate:2,6857142857142855e-06","epoch:18,6",
"loss:0,4426","grad_norm:4,424663066864014","learning_rate:2,6285714285714286e-06","epoch:18,8",
"loss:0,0028","grad_norm:0,20239154994487762","learning_rate:2,5714285714285716e-06","epoch:19,0",
"eval_loss:1,0596857070922852","eval_runtime:12,9881","eval_samples_per_second:0,308","eval_steps_per_second:0,077","epoch:19,0"
"loss:0,4069","grad_norm:4,024986267089844","learning_rate:2,5142857142857142e-06","epoch:19,2",
"loss:0,4203","grad_norm:3,906839609146118","learning_rate:2,4571428571428573e-06","epoch:19,4",
"loss:0,4369","grad_norm:5,050827503204346","learning_rate:2,4e-06","epoch:19,6",
"loss:0,4059","grad_norm:3,997670888900757","learning_rate:2,342857142857143e-06","epoch:19,8",
"loss:0,0035","grad_norm:0,41095981001853943","learning_rate:2,2857142857142856e-06","epoch:20,0",
"eval_loss:1,064673900604248","eval_runtime:13,1514","eval_samples_per_second:0,304","eval_steps_per_second:0,076","epoch:20,0"
"loss:0,4065","grad_norm:3,6485114097595215","learning_rate:2,2285714285714286e-06","epoch:20,2",
"loss:0,3796","grad_norm:4,01442813873291","learning_rate:2,171428571428571e-06","epoch:20,4",
"loss:0,3603","grad_norm:3,6287264823913574","learning_rate:2,1142857142857143e-06","epoch:20,6",
"loss:0,0025","grad_norm:0,07237663865089417","learning_rate:2,057142857142857e-06","epoch:20,8",
"loss:0,4115","grad_norm:5,300589561462402","learning_rate:2e-06","epoch:21,0",
"eval_loss:1,1022722721099854","eval_runtime:13,054","eval_samples_per_second:0,306","eval_steps_per_second:0,077","epoch:21,0"
"loss:0,3846","grad_norm:3,983588695526123","learning_rate:1,942857142857143e-06","epoch:21,2",
"loss:0,3634","grad_norm:4,47691011428833","learning_rate:1,8857142857142856e-06","epoch:21,4",
